State,District,Latitude,Longitude,District code,Population,Households with Internet,Households with  Electric Lighting,Age 0 to 29,Age 30 to 49,Age 50+,Sex Ratio,Literacy Rate,Percent of Hindu Population,Percent of Christian Population,Percent of Muslims Population,Percent of Buddhists Population,Percent of Jains Population,Percent of Sikhs Population,Percent of Other Religions Population,Percent of people not state their Religion,Percent of Below Primary Education,Percent of Middle Education,Percent of Secondary Education,Percent of Higher Education,Percent of Graduate Education
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,17157,94890,35493,15195,91.0,57.0,67.94943935879665,7.331567462223624,2.639199593758149,16.779435378724454,0.07136681168768785,0.1441060620616774,4.993618160108697,0.09126717263906235,13.248150638870209,14.165625900662887,8.96888681498154,5.22350164006423,3.5546161975213755
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,5932,35140,13254,5652,93.0,59.0,53.46708579881657,17.03587278106509,4.154955621301775,5.421597633136095,0.035133136094674555,0.06102071005917159,19.21782544378698,0.606508875739645,10.86353550295858,13.592825443786982,10.184911242603551,6.601331360946745,5.168269230769231
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,12493,55258,20305,7412,98.0,65.0,11.503071179091895,41.433216909550765,1.7848970251716247,0.23244610381789715,0.015656991448873902,0.03251836685535348,44.66457906780681,0.33361435625677466,10.227628567987475,14.044321329639889,11.876430205949656,9.242442490666024,6.298928098277731
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,30539,120592,43812,11856,98.0,69.0,32.296557231286776,47.797228341818965,3.4818460353508183,2.7002995928029767,0.0787209822566304,0.17556478057234118,12.791310109699673,0.6784729262118218,8.703482412373353,12.106041127465694,11.330724402938161,9.821433628017875,7.8381179455522645
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,8635,30709,13849,5399,71.0,52.0,23.694899653840768,1.5527142485543348,1.5747243732116774,69.87214118494508,0.14406627048442283,2.3290713728315025,0.6983212277647718,0.13406166836744904,9.81251375632791,8.061708385857495,4.28196970606479,3.9798307221321805,2.759269263861376
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,16026,71785,25669,14423,94.0,43.0,18.470194239785666,74.44608171466845,0.9850413038624692,0.6947979459700826,0.038401428890377315,0.05447644563518643,4.755525787006029,0.5554811341817371,12.132172359901764,10.78544317928109,6.996204509935254,3.8446081714668447,1.905782540745702
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,6198,21090,8910,5252,89.0,52.0,14.89524348810872,15.976783691959229,1.1636466591166479,7.296149490373725,0.019818799546998868,0.07644394110985277,59.36296715741789,1.208946772366931,11.189127972819932,13.915628539071347,8.30973952434881,6.2599093997735,3.8193657984144957
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,5373,56054,20055,7230,100.0,54.0,16.146582302751415,10.52032403412904,0.624340906912089,0.3559102674719586,0.013181861758220689,0.03355382993001629,71.24077269676926,1.0653341002780174,12.24594957338702,18.381507046304286,12.40053686127888,9.607180519605024,5.1241491707410605
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,14188,53026,22362,8493,82.0,58.0,37.24373711984943,10.084934542032473,2.346718763029054,42.9878375641774,0.0845771736929253,0.390722717905345,6.618461648421027,0.24301047089234873,10.525688827474477,10.03966788568978,6.710186188904904,4.749425232587227,3.207976461338702
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,14204,70415,28305,13469,93.0,58.0,14.144859896325062,26.692733847551526,1.9755241640985446,2.949035395550172,0.04364322995528796,0.5139212996775745,53.445143131980686,0.23513903486114326,12.671678215793506,14.168908206708588,10.190248855478561,7.497728770686001,5.370789318987477
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,84804,1072312,405046,215355,95.0,53.0,29.107203378321728,0.06022595360712131,70.73809858398154,0.0028932075752440625,0.02355897596984451,0.006613045886272144,0.000826630735784018,0.06058022392245731,12.435301383661763,17.763408836210203,7.1990089878379,5.159179557185724,2.771988082346592
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,49866,458796,184849,94939,97.0,59.0,48.61167508567902,0.8018364816649612,50.220762204860826,0.03194351952615308,0.11789324367491243,0.051975896178147386,0.0012181850666753294,0.16269538334930508,12.667906508356749,18.08910076285456,7.569531296527902,4.803845133486013,2.7369911370268705
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,140205,1048990,444899,241776,96.0,68.0,59.82810256953606,2.1671445114265264,37.706414252538124,0.01963587826216143,0.09633672824808234,0.01612330179884223,0.005643155629594781,0.16059960256061065,14.790538155505791,21.851047179660224,8.991965413214313,4.593183183165891,2.6108808102189487
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,45444,583436,226525,118102,95.0,52.0,35.252773290253096,0.1817985998922994,64.33947226709746,0.006138933764135703,0.07797522886375875,0.046418955304254175,0.0020463112547119008,0.09337641357027464,12.819278406031234,17.35627355950458,6.358535271943996,5.10479267635972,2.398169089929995
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,28195,434221,169630,82051,95.0,62.0,95.47012022450457,1.2695789300325155,1.9639049572021752,0.13277309209730476,0.024339304478869256,0.04328606844445611,0.9203754957129303,0.1756219275271704,11.52939736173599,19.8753011442388,11.776725503655996,8.074090591765737,4.081715935540195
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,136685,767147,371864,186774,96.0,67.0,90.35432224890394,3.9935612043714444,4.864985090493729,0.3523242619700151,0.07954249868999913,0.17046975311667115,0.003468203734350673,0.18132673871985586,10.795839663433446,22.715754315463286,10.54130366762545,6.747918135312722,4.476998646646586
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,78641,650509,239831,117427,96.0,56.0,34.50544196837281,7.723002669158278,57.522195871186085,0.019242538309017312,0.04731283903815081,0.07647421152707395,0.010216399205303007,0.0961135032032875,12.368786222342571,18.24113281021402,7.308494588780014,3.9561270126554406,1.8145515248719726
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,82345,629153,289085,148244,96.0,68.0,85.99084439978705,4.741078726164321,8.464993513845878,0.3620811181679801,0.0496771919826636,0.1060092530799859,0.1262550520766941,0.1590607448954342,11.003310563058164,24.481670053463905,10.417682080968198,6.204681278634683,3.4574388314424755
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,44143,419921,156243,82841,95.0,62.0,38.10033732951512,1.286220453332039,60.314790321797794,0.07432170072319565,0.03746420424210067,0.012740862981119254,0.09646653399990292,0.07765859340872688,13.437970198514778,21.08749332621463,7.592340921225064,4.323399504926467,1.76066592243848
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,122063,604908,315550,171062,96.0,73.0,92.30610772566138,1.9272954325725837,5.006518618345882,0.21771452846219203,0.06582705885799667,0.14099258781824042,0.052917997246066856,0.2826260510356547,9.105374564204729,27.048970204787153,11.723442123458238,8.882990800691413,5.731989570210646
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,122191,895775,408232,212740,95.0,66.0,57.823440800979476,2.194140261027372,39.65517923062426,0.012190766384060539,0.087641725896219,0.021020835008190877,0.0036242818979639446,0.20276209818245555,10.796999358172624,23.318036667189443,10.202748918975555,7.831677805293033,3.625006754343537
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,53918,618633,233739,103123,95.0,58.0,80.09929803317533,16.499723416914755,2.1216902834113935,0.6545973964591091,0.04151360485531411,0.03869026145205597,0.37309960232685324,0.17138740140518846,11.431822008066396,20.83930679599671,9.739175353676046,4.245681068855071,1.9057567971992433
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,70951,779850,284368,163990,96.0,65.0,42.481317439931765,0.9758392298764696,56.36012781133667,0.036298940494153914,0.042647185692683075,0.009278204520927234,0.008952653485105226,0.08553853466223266,16.11957815096778,20.9924260551516,6.241220295502675,3.225966601719235,1.742349143719388
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,41373,552671,224715,108956,96.0,55.0,59.637352306620585,11.395131782736021,28.436372080230672,0.1936555816318019,0.04463772428765632,0.010483101916040499,0.013864747695408401,0.26850267488181145,13.177033665410947,17.439710891830167,8.881103588827944,4.460503504512243,1.9486170195977643
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,60296,639385,268872,133615,97.0,66.0,76.48994326081888,4.434829585745445,18.565313389698286,0.1030574674922779,0.02398916841067921,0.03953414954079934,0.2312555834789476,0.11207739481469328,12.181699718942902,20.870288647269987,10.298645955378227,7.953368894876585,4.242436455091797
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,195631,1778277,678034,366112,96.0,61.0,43.390462672570834,0.9506446705253406,55.35876176796394,0.03799887242861312,0.04115068943340955,0.10751591490519051,0.002160234126882945,0.11130517804578846,13.90397511410286,20.40585487192999,7.075368798003236,4.103169948805992,2.372503690104853
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,68313,442061,211320,117809,95.0,69.0,63.70621495284712,0.055595945772569814,35.96085734391341,0.0034990455381337647,0.1301126563069,0.008034845309788645,0.001166348512711255,0.13451886179936473,9.831799585039118,24.982018793762368,10.562840913950694,9.296316023425462,5.101867583157409
